,縣市,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,車位數,總樓層數temp,總樓層數-轉換
238,桃園市,蘆竹區,房地(土地+建物),桃園市蘆竹區中正路２５號六樓之５,3.94,住,,,1110105,土地1建物1車位0,六層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860122,58.94,1,1,1,有,有,4660000,79063,,0.0,0,,RPQOMLRLJHHGFEH38DA,39.46,2.12,0.0,有,80.0,0.0,二十七,27
250,桃園市,龍潭區,房地(土地+建物)+車位,桃園市龍潭區公園路６６之３號二樓,23.05,住,,,1101230,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030324,164.62,3,2,2,有,有,13030000,79152,坡道平面,0.0,0,,RPVNMLNJJHHGFCH97DA,74.77,4.07,13.66,有,88.0,1.0,十三,13
253,桃園市,大溪區,房地(土地+建物)+車位,桃園市大溪區員林路一段３巷４５號六樓,49.09,都市：其他:第二種住宅區,,,1101229,土地5建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030926,201.39999999999998,2,2,2,有,有,9200000,45680,坡道平面,35.93,0,,RPQNMLRJJHHGFCH87DA,97.14,0.0,14.66,有,89.0,1.0,十八,18
255,桃園市,中壢區,房地(土地+建物),桃園市中壢區九和一街１號十三樓之３,3.54,商,,,1101208,土地1建物1車位0,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970406,45.0,1,1,1,有,有,4600000,102222,,0.0,0,,RPOOMLSLJHHGFBH97DA,30.53,0.0,2.27,有,,0.0,二十二,22
258,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區南園二路２９６巷２１弄７０號十樓,24.57,住,,,1110107,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020605,165.5,3,2,2,有,有,9700000,58610,坡道平面,33.71,0,,RPOOMLRLJHHGFBH87DA,80.09,1.1,9.36,有,92.0,1.0,十五,15
262,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區青商路１２９號十三樓,23.0,商,,,1101217,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030718,226.07,3,2,2,有,有,22000000,97315,坡道平面,0.0,0,,RPUOMLQLJHHGFBH38DA,108.66,5.25,11.8,有,94.0,2.0,十四,14
268,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２３０號十一樓,12.65,住,,,1080511,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,92.37,1,0,1,有,有,6350000,77411,坡道平面,27.78,1350000,預售屋、或土地及建物分件登記案件；,RPPQMLRLJHHGFBH18DA,38.4,0.78,2.98,有,,1.0,十五,15
269,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２３２號六樓,21.22,住,,,1080311,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,136.0,3,2,2,有,有,8900000,68841,坡道平面,27.78,1450000,預售屋、或土地及建物分件登記案件；,RPQQMLRLJHHGFBH28DA,63.43,1.63,5.72,有,,1.0,十五,15
270,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２３２號八樓,21.22,住,,,1080311,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,136.0,3,2,2,有,有,9350000,72999,坡道平面,27.78,1450000,預售屋、或土地及建物分件登記案件；,RPRQMLRLJHHGFBH38DA,63.43,1.63,5.72,有,,1.0,十五,15
271,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２０號十樓,19.58,住,,,1080424,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,127.51,2,2,2,有,有,8530000,70992,坡道平面,27.78,1450000,轉讓日期110.06.17總金額1038萬元整預售屋、或土地及建物分件登記案件；,RPSQMLRLJHHGFBH48DA,57.61,3.42,4.15,有,,1.0,十五,15
272,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２６號五樓,22.15,住,,,1080308,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,140.7,3,2,2,有,有,9100000,68633,坡道平面,27.78,1350000,預售屋、或土地及建物分件登記案件；,RPTQMLRLJHHGFBH58DA,63.56,4.52,5.81,有,,1.0,十五,15
273,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２６號十樓,22.15,住,,,1080726,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,140.7,3,2,2,有,有,9580000,71998,坡道平面,27.78,1450000,預售屋、或土地及建物分件登記案件；,RPUQMLRLJHHGFBH68DA,63.56,4.52,5.81,有,,1.0,十五,15
274,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２６號十四樓,22.15,住,,,1080824,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,140.7,3,2,2,有,有,9750000,74389,坡道平面,27.78,1350000,預售屋、或土地及建物分件登記案件；,RPVQMLRLJHHGFBH78DA,63.56,4.52,5.81,有,,1.0,十五,15
278,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區慈惠三街１２９號十五樓之１,25.94,住,,,1101205,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830607,188.89,4,2,2,有,有,12500000,73893,坡道平面,37.32,1300000,,RPPNMLRJKHHGFBH77DA,103.99,1.07,13.99,有,,1.0,十五,15
280,桃園市,中壢區,房地(土地+建物)+車位,桃園市中壢區復華十一街５９號二樓,22.64,住,,,1110108,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080220,132.39000000000001,2,2,1,有,有,7850000,59295,坡道平面,0.0,0,,RPXRMLMKJHHGFBH48DA,54.38,1.96,4.87,有,97.0,1.0,十五,15
281,桃園市,中壢區,房地(土地+建物),桃園市中壢區同慶路２４５號五樓,10.3,住,,,1110102,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931230,86.39,2,2,1,有,有,5350000,61928,,0.0,0,,RPOQMLSKJHHGFBH08DA,53.9,0.8,12.03,有,98.0,0.0,十四,14
294,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區文中一路９５巷１６號四樓,31.18,住,,,1100124,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101103,190.68,4,2,2,有,有,15280000,84535,坡道平面,31.22,1800000,,RPOQMLQLJHHGFAH87DA,95.9,0.0,11.67,有,,1.0,十五,15
295,桃園市,桃園區,房地(土地+建物),桃園市桃園區大興路２９０巷１２號三樓,8.52,商,,,1110108,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011210,62.209999999999994,1,1,1,有,有,5550000,89214,,0.0,0,機車位壹位。,RPQNMLRLJHHGFAH87DA,38.97,0.0,4.25,有,103.0,0.0,十五,15
298,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路二段６９巷７６號四樓,18.21,住,,,1101222,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000309,131.07,2,2,1,有,有,11710000,89342,坡道平面,32.44,0,,RPPQMLRLJHHGFAH08DA,60.14,2.49,6.6,有,104.0,1.0,十五,15
